"","dgCMatrix_medium","DA_medium","dgCMatrix_large","DA_large"
"data preparation",10.2307240335565,8.65756022135417,38.1302662247661,12.8064268285578
"quality control",12.1033498219081,10.4340780431574,43.5021330655276,18.4473202045147
"variance modeling",13.4042737860429,19.0824362656166,57.8238632469847,111.877394518104
"data integration",14.0677269697189,12.2461675916399,64.1085153944949,37.4926243976057
"dimensionality reduction",13.2843547723232,10.2745644556333,53.8999035010177,15.300346590438
"clustering",13.6348864717304,10.1357559204102,59.1701447623117,15.1923449707031
"differential expression",15.7450649261475,19.4059535885645,76.1215786789403,116.019772666295
