"","autoBlockSize","elapsed","MEM_max","MEM_mean","CPU_max","CPU_mean"
"1","67108864","1:56:59",13.7265434265137,12.4177588574227,20,5.5539886039886
"2","134217728","0:59:31",13.7039184570312,12.1596721251895,19,5.55851063829787
"3","268435456","0:29:28",13.6351165771484,12.102776507458,19,5.55172413793103
"4","536870912","0:14:43",13.0597496032715,12.094552376691,18,5.54298642533937
"5","1073741824","0:07:45",12.8124656677246,12.0457463817023,19,5.56437768240343
"6","2147483648","0:04:14",13.3007469177246,12.1735528833726,15,5.53725490196078
