"","ncpus","elapsed","MEM_max","MEM_mean","CPU_max","CPU_mean"
"1","2","0:00:34",14.5389442443848,11.9355562482561,14,7.8
"2","4","0:00:18",19.873836517334,15.9108697991622,20,19.3684210526316
"3","6","0:00:20",26.0052223205566,19.9733708699544,38,28.8571428571429
"4","8","0:00:20",31.4953002929688,23.9496122087751,44,38.0476190476191
"5","10","0:00:21",36.7548751831055,26.6226390491832,55,46.4090909090909
"6","12","0:00:25",41.3525886535645,27.4846009474534,70,49.6153846153846
