"","ncpus","elapsed","MEM_max","MEM_mean","CPU_max","CPU_mean"
"1","2","0:02:17",18.9083213806152,16.4624569934347,19,10.2826086956522
"2","4","0:01:16",29.017261505127,22.1692898242505,30,18.8961038961039
"3","6","0:01:19",28.744026184082,21.4078452587128,30,18.8875
"4","8","0:00:54",44.7589454650879,30.0573541814631,50,33.1272727272727
"5","10","0:00:53",54.7135276794434,35.0540018434878,60,41.2222222222222
"6","12","0:01:01",62.6096153259277,37.2378792916575,70,45.1774193548387
