"","dgCMatrix_medium","DA_medium","dgCMatrix_large","DA_large"
"data preparation",3.36842105263158,3,3.25830258302583,3
"quality control",4.01785714285714,5.12121212121212,4.1043956043956,6.3125
"variance modeling",4.36842105263158,6.88793103448276,4.07017543859649,7.39021164021164
"data integration",8.953125,5.44285714285714,6.22872340425532,3.91260744985673
"dimensionality reduction",10.0384615384615,9.08219178082192,24.9438202247191,24.4150943396226
"clustering",3.26415094339623,3.24444444444444,3.19285714285714,3.26666666666667
"differential expression",5.95,7.11570247933884,5.5,7.21875
